"Date","Price","Open","High","Low","Vol.","Change %"
"04/30/2025","11.32","11.26","11.36","11.06","7.15M","1.62%"
"04/29/2025","11.14","11.24","11.34","11.14","7.59M","-0.36%"
"04/28/2025","11.18","11.10","11.24","11.02","8.40M","2.19%"
"04/25/2025","10.94","11.00","11.32","10.94","8.05M","0.00%"
"04/24/2025","10.94","11.08","11.08","10.92","7.26M","-1.26%"
"04/23/2025","11.08","10.90","11.08","10.86","7.24M","2.40%"
"04/22/2025","10.82","10.88","10.96","10.80","5.79M","-0.92%"
"04/21/2025","10.92","11.04","11.04","10.88","6.58M","-1.09%"
"04/18/2025","11.04","10.96","11.10","10.94","7.90M","0.55%"
"04/17/2025","10.98","10.94","10.98","10.86","6.68M","0.37%"
"04/16/2025","10.94","11.08","11.08","10.82","6.70M","-1.44%"
"04/15/2025","11.10","10.96","11.10","10.88","7.03M","1.09%"
"04/14/2025","10.98","10.80","10.98","10.72","9.82M","1.48%"
"04/11/2025","10.82","10.64","10.94","10.64","8.76M","1.69%"
"04/10/2025","10.64","10.96","11.08","10.62","7.57M","-1.66%"
"04/09/2025","10.82","10.70","10.96","10.42","5.48M","3.05%"
"04/08/2025","10.50","10.10","10.88","10.10","7.57M","5.85%"
"04/07/2025","9.92","10.88","10.88","9.90","7.05M","-9.82%"
"04/04/2025","11.00","10.98","11.10","10.90","6.93M","-0.90%"
"04/03/2025","11.10","11.04","11.14","10.92","7.50M","0.54%"
"04/02/2025","11.04","10.86","11.10","10.76","6.07M","2.60%"
"03/28/2025","10.76","11.08","11.34","10.76","6.64M","-3.24%"
"03/27/2025","11.12","11.02","11.14","11.02","7.30M","1.09%"
"03/26/2025","11.00","10.96","11.14","10.80","6.22M","0.73%"
"03/25/2025","10.92","10.76","11.08","10.66","8.13M","1.49%"
"03/24/2025","10.76","10.70","10.92","10.44","7.05M","0.75%"
"03/21/2025","10.68","11.00","11.18","10.68","5.36M","-2.91%"
"03/20/2025","11.00","11.02","11.22","10.86","5.89M","0.00%"
"03/19/2025","11.00","11.18","11.18","10.96","5.45M","-1.96%"
"03/18/2025","11.22","11.28","11.38","11.14","5.45M","0.00%"
"03/17/2025","11.22","11.18","11.40","11.16","5.43M","0.72%"
"03/14/2025","11.14","11.18","11.18","11.08","5.56M","-0.36%"
"03/13/2025","11.18","11.20","11.24","11.10","5.75M","-0.18%"
"03/12/2025","11.20","11.12","11.20","11.08","5.02M","0.54%"
"03/11/2025","11.14","10.94","11.16","10.58","5.64M","1.83%"
"03/10/2025","10.94","10.90","11.28","10.90","5.39M","0.37%"
"03/07/2025","10.90","11.26","11.26","10.88","5.20M","-3.37%"
"03/06/2025","11.28","11.12","11.32","11.06","5.97M","1.26%"
"03/05/2025","11.14","11.08","11.42","10.96","5.81M","-1.94%"
"03/04/2025","11.36","11.24","11.46","11.02","5.60M","0.89%"
"03/03/2025","11.26","10.88","11.26","10.78","6.30M","3.49%"
"02/28/2025","10.88","11.18","11.18","10.88","5.46M","-1.09%"
"02/27/2025","11.00","11.12","11.18","10.94","4.90M","-0.90%"
"02/26/2025","11.10","11.14","11.32","11.04","4.95M","0.18%"
"02/25/2025","11.08","11.08","12.00","11.00","3.84M","0.36%"
"02/24/2025","11.04","11.08","11.26","11.00","4.22M","0.18%"
"02/21/2025","11.02","11.60","11.62","11.00","6.17M","-5.00%"
"02/20/2025","11.60","11.20","11.64","11.20","5.73M","3.57%"
"02/19/2025","11.20","11.04","11.20","11.02","4.96M","0.00%"
